"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Bedum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Bedum";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Beegden";1774
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Beegden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Beegden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Beegden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Beegden";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Beek (L.)";16377
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Beek (L.)";17150
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Beek (L.)";17020
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Beek (L.)";15929
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2020";"Beek (L.)";15865
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"1988";"Beek en Donk";9261
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2000";"Beek en Donk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2005";"Beek en Donk";
"Totaal mannen en vrouwen";"Totaal";"Totaal burgerlijke staat";"2019";"Beek en Donk";
